WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (109.0 -7.733333)",1497.0,13.0,Kabupaten Cilacap,3301.0,2.0,-7.733333,109,1.0
"POINT (109.140438 -7.4832133)",1498.0,13.0,Kabupaten Banyumas,3302.0,2.0,-7.4832133,109.140438,1.0
"POINT (109.3638 -7.390747)",1499.0,13.0,Kabupaten Purbalingga,3303.0,2.0,-7.390747,109.3638,1.0
"POINT (109.681396 -7.402706)",1500.0,13.0,Kabupaten Banjarnegara,3304.0,2.0,-7.402706,109.681396,1.0
"POINT (109.656502 -7.678682)",1501.0,13.0,Kabupaten Kebumen,3305.0,2.0,-7.678682,109.656502,1.0
"POINT (110.008003 -7.709731)",1502.0,13.0,Kabupaten Purworejo,3306.0,2.0,-7.709731,110.008003,1.0
"POINT (109.899399 -7.362109)",1503.0,13.0,Kabupaten Wonosobo,3307.0,2.0,-7.362109,109.899399,1.0
"POINT (110.213799 -7.481253)",1504.0,13.0,Kabupaten Magelang,3308.0,2.0,-7.481253,110.213799,1.0
"POINT (110.595901 -7.523819)",1505.0,13.0,Kabupaten Boyolali,3309.0,2.0,-7.523819,110.595901,1.0
"POINT (110.595497 -7.711687)",1506.0,13.0,Kabupaten Klaten,3310.0,2.0,-7.711687,110.595497,1.0
"POINT (110.8195292 -7.6808818)",1507.0,13.0,Kabupaten Sukoharjo,3311.0,2.0,-7.6808818,110.8195292,1.0
"POINT (110.920601 -7.817782)",1508.0,13.0,Kabupaten Wonogiri,3312.0,2.0,-7.817782,110.920601,1.0
"POINT (110.9508333 -7.5961111)",1509.0,13.0,Kabupaten Karanganyar,3313.0,2.0,-7.5961111,110.9508333,1.0
"POINT (111.021301 -7.430229)",1510.0,13.0,Kabupaten Sragen,3314.0,2.0,-7.430229,111.021301,1.0
"POINT (110.9625854 -7.0217194)",1511.0,13.0,Kabupaten Grobogan,3315.0,2.0,-7.0217194,110.9625854,1.0
"POINT (111.4166667 -6.95)",1512.0,13.0,Kabupaten Blora,3316.0,2.0,-6.95,111.4166667,1.0
"POINT (111.345299 -6.71124)",1513.0,13.0,Kabupaten Rembang,3317.0,2.0,-6.71124,111.345299,1.0
"POINT (111.038002 -6.751338)",1514.0,13.0,Kabupaten Pati,3318.0,2.0,-6.751338,111.038002,1.0
"POINT (110.838203 -6.804087)",1515.0,13.0,Kabupaten Kudus,3319.0,2.0,-6.804087,110.838203,1.0
"POINT (110.6717 -6.5596059)",1516.0,13.0,Kabupaten Jepara,3320.0,2.0,-6.5596059,110.6717,1.0
"POINT (110.639297 -6.888115)",1517.0,13.0,Kabupaten Demak,3321.0,2.0,-6.888115,110.639297,1.0
"POINT (110.4166667 -6.9666667)",1518.0,13.0,Kabupaten Semarang,3322.0,2.0,-6.9666667,110.4166667,1.0
"POINT (110.174797 -7.316669)",1519.0,13.0,Kabupaten Temanggung,3323.0,2.0,-7.316669,110.174797,1.0
"POINT (110.205597 -6.919686)",1520.0,13.0,Kabupaten Kendal,3324.0,2.0,-6.919686,110.205597,1.0
"POINT (109.7234519 -6.8941111)",1521.0,13.0,Kabupaten Batang,3325.0,2.0,-6.8941111,109.7234519,1.0
"POINT (109.669998 -6.882887)",1522.0,13.0,Kabupaten Pekalongan,3326.0,2.0,-6.882887,109.669998,1.0
"POINT (109.377998 -6.884234)",1523.0,13.0,Kabupaten Pemalang,3327.0,2.0,-6.884234,109.377998,1.0
"POINT (109.1333333 -6.8666667)",1524.0,13.0,Kabupaten Tegal,3328.0,2.0,-6.8666667,109.1333333,1.0
"POINT (109.05 -6.8833333)",1525.0,13.0,Kabupaten Brebes,3329.0,2.0,-6.8833333,109.05,1.0
"POINT (110.213799 -7.481253)",1526.0,13.0,Kota Magelang,3371.0,2.0,-7.481253,110.213799,1.0
"POINT (110.8166667 -7.5666667)",1527.0,13.0,Kota Surakarta,3372.0,2.0,-7.5666667,110.8166667,1.0
"POINT (110.4729 -7.302328)",1528.0,13.0,Kota Salatiga,3373.0,2.0,-7.302328,110.4729,1.0
"POINT (110.4166667 -6.9666667)",1529.0,13.0,Kota Semarang,3374.0,2.0,-6.9666667,110.4166667,1.0
"POINT (109.669998 -6.882887)",1530.0,13.0,Kota Pekalongan,3375.0,2.0,-6.882887,109.669998,1.0
"POINT (109.1333333 -6.8666667)",1531.0,13.0,Kota Tegal,3376.0,2.0,-6.8666667,109.1333333,1.0
